personLabel,seowonCount,seowonList
"송시열(宋時烈, 1607-1689)",8,"창주서원_옥천(滄洲書院)(1694), 화산서원_익산(華山書院)(1694), 노봉서원_청주(魯峰書院)(1694), 매곡서원(梅谷書院)(1694), 도봉서원(道峯書院)(1694), 죽림서원 (竹林書院)(1694), 숭현서원(崇賢書院)(1694), 보은 상현서원(報恩 象賢書院)(1694)"
"김장생(金長生, 1548-1631)",7,"화산서원_익산(華山書院)(1660), 돈암서원(遯巖書院)(1658), 도기서원 (道基書院)(1668), 월봉서원(月峯書院)(1673), 죽림서원 (竹林書院)(1665), 봉암서원_세종(鳳巖書院)(1665), 숭현서원(崇賢書院)(1646)"
"이황(李滉, 1501-1570)",6,"단암서원 (丹巖書院)(1691), 영산서원 (英山書院)(1693), 봉람서원 (鳳覽書院)(1689), 호계서원_안동(虎溪書院)(1676), 죽림서원 (竹林書院)(1665), 도남서원 (道南書院)(1676)"
"송준길(宋浚吉, 1606-1672)",5,"돈암서원(遯巖書院)(1688), 노봉서원_청주(魯峰書院)(1687), 숭현서원(崇賢書院)(1674), 봉암서원_세종(鳳巖書院)(1685), 충현서원_공주(忠賢書院)(1686)"
"정구(鄭逑, 1543-1620)",5,"도원서원 (道源書院)(1688), 회연서원 (檜淵書院)(1689), 달성 도동서원(達城 道東書院)(1677), 도동서원_천안(道東書院)(1676), 운곡서원 (雲谷書院)(1676)"
"김굉필(金宏弼, 1454-1504)",4,"상현서원 (象賢書院)(1693), 도산서원_거창(道山書院)(1660), 도남서원 (道南書院)(1676), 비봉서원 (飛鳳書院)(1681)"
"김집(金集, 1574-1656)",4,"돈암서원(遯巖書院)(1658), 창주서원_남원(滄洲書院)(1682), 봉암서원_임피(鳳巖書院)(1658), 월봉서원(月峯書院)(1673)"
"이언적(李彦迪, 1491-1553)",4,"구강서원 (鷗江書院)(1694), 화산서원_전주(華山書院)(1658), 경현서원_강계(景賢書院)(1664), 도남서원 (道南書院)(1676)"
"이이(李珥, 1536-1584)",4,"신항서원(莘巷書院)(1658), 비봉서원 (飛鳳書院)(1681), 죽림서원 (竹林書院)(1665), 경현서원_강계(景賢書院)(1694)"
"장현광(張顯光, 1554-1637)",4,"임고서원(臨皐書院)(1643), 천곡서원(川谷書院)(1642), 동락서원 (東洛書院)(1675), 빙계서원(氷溪書院)(1689)"
"김성일(金誠一, 1538-1593)",3,"경현서원_나주(景賢書院)(1693), 빙계서원(氷溪書院)(1689), 호계서원_안동(虎溪書院)(1676)"
"성삼문(成三問, 1418-1456)",3,"민절서원 (愍節書院)(1691), 노은서원 (魯恩書院)(1692), 육신사(六臣祠)(1693)"
"송인수(宋麟壽, 1499-1547)",3,"귤림서원 (橘林書院)(1682), 신항서원(莘巷書院)(1658), 노봉서원_청주(魯峰書院)(1658)"
"유성룡(柳成龍, 1542-1607)",3,"빙계서원(氷溪書院)(1689), 도남서원 (道南書院)(1676), 호계서원_안동(虎溪書院)(1676)"
"이색(李穡, 1328-1396)",3,"동양서원 (東陽書院)(1687), 신항서원(莘巷書院)(1658), 임강서원 (臨江書院)(1694)"
"정경세(鄭經世, 1563-1633)",3,"연경서원(硏經書院)(1676), 도남서원 (道南書院)(1676), 덕림서원 (德林書院)(1676)"
"정여창(鄭汝昌, 1450-1504)",3,"도산서원_거창(道山書院)(1660), 도남서원 (道南書院)(1676), 종산서원 (鍾山書院)(1685)"
"정온(鄭蘊, 1569-1641)",3,"도산서원_거창(道山書院)(1660), 귤림서원 (橘林書院)(1682), 함양 남계서원(咸陽 灆溪書院)(1676)"
"조경(趙絅, 1586-1669)",3,"용연서원(龍淵書院)(1690), 화산서원_전주(華山書院)(1693), 문암서원(文巖書院)(1677)"
"조헌(趙憲, 1544-1592)",3,"창주서원_남원(滄洲書院)(1682), 보은 상현서원(報恩 象賢書院)(1681), 우저서원 (牛渚書院)(1669)"
"하위지(河緯地, 1412-1456)",3,"민절서원 (愍節書院)(1691), 월암서원 (月巖書院)(1693), 육신사(六臣祠)(1693)"
